Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,GA,Georgia,Augusta,City,BRFSS,Health Outcomes,1304204,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.1,14.9,15.3,,,195844,"(33.3644561527, -82.0708396775)",HLTHOUT,MHLTH,1304204,,Mental Health
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003001000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,29.2,24.5,33.7,,,3096,"(21.3174499098, -157.777732138)",PREVENT,COREW,15003,15003001000,Core preventive services for older women
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Unhealthy Behaviors,1368516-13121010002,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17,15.7,18.7,,,974,"(33.8834936779, -84.3555366414)",UNHBEH,LPA,1368516,13121010002,Physical Inactivity
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215003301,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.2,7.3,9.1,,,1317,"(32.4126106139, -84.9308181793)",HLTHOUT,COPD,1319000,13215003301,COPD
2017,GA,Georgia,Macon,Census Tract,BRFSS,Prevention,1349000-13021011100,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,36.4,32.7,40,,,2240,"(32.8593544888, -83.6050700137)",PREVENT,ACCESS2,1349000,13021011100,Health Insurance
2017,US,United States,,US,BRFSS,Prevention,59,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.2,14.9,15.5,,,308745538,,PREVENT,ACCESS2,,,Health Insurance
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001010313,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.3,9.8,12.8,,,910,"(43.5881337971, -116.33695668)",HLTHOUT,MHLTH,1608830,16001010313,Mental Health
2016,GA,Georgia,Roswell,Census Tract,BRFSS,Unhealthy Behaviors,1367284-13121011611,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,35.8,34.4,37,,,2562,"(34.0588038236, -84.3193729476)",UNHBEH,SLEEP,1367284,13121011611,Sleep <7 hours
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003009502,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.4,6.8,8,,,4243,"(21.4957446121, -158.069946972)",HLTHOUT,PHLTH,15003,15003009502,Physical Health
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Health Outcomes,1368516-13121010210,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.3,14.5,16.1,,,5604,"(33.9532222931, -84.3802060273)",HLTHOUT,ARTHRITIS,1368516,13121010210,Arthritis
2017,GA,Georgia,Warner Robins,Census Tract,BRFSS,Prevention,1380508-13153021201,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.8,15.5,20.2,,,946,"(32.5421477478, -83.6735825642)",PREVENT,ACCESS2,1380508,13153021201,Health Insurance
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Prevention,1368516-13121010204,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,81.4,80.3,82.4,,,4761,"(33.9251455366, -84.4171639288)",PREVENT,BPMED,1368516,13121010204,Taking BP Medication
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215000200,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.9,7.6,8.2,,,2498,"(32.5150890381, -84.9613992615)",HLTHOUT,CANCER,1319000,13215000200,Cancer (except skin)
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003004300,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.1,18.7,19.4,,,5591,"(21.3139921557, -157.847536577)",UNHBEH,BINGE,15003,15003004300,Binge Drinking
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215010502,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.5,3.1,3.8,,,1406,"(32.5146118342, -84.8796632697)",HLTHOUT,KIDNEY,1319000,13215010502,Chronic Kidney Disease
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003008930,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.9,16.8,21.5,,,2560,"(21.4661119695, -157.995420252)",UNHBEH,LPA,15003,15003008930,Physical Inactivity
2017,GA,Georgia,Johns Creek,Census Tract,BRFSS,Unhealthy Behaviors,1342425-13121011426,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.3,10.8,15.9,,,1154,"(34.0365607891, -84.2419507191)",UNHBEH,CSMOKING,1342425,13121011426,Current Smoking
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003007000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,1.9,1.7,2.1,,,4041,"(21.3445412044, -157.925563289)",HLTHOUT,COPD,15003,15003007000,COPD
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215001400,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.4,11.6,13.4,,,1768,"(32.4888055542, -84.9787047641)",HLTHOUT,COPD,1319000,13215001400,COPD
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051004207,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,76.6,75.7,77.6,,,3717,"(31.9965923815, -81.1376074799)",PREVENT,BPMED,1369000,13051004207,Taking BP Medication
2017,GA,Georgia,Johns Creek,Census Tract,BRFSS,Health Outcomes,1342425-13121011425,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.4,6.4,8.7,,,6906,"(34.013011213, -84.2405514785)",HLTHOUT,PHLTH,1342425,13121011425,Physical Health
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003006201,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.4,3.1,3.7,,,6047,"(21.3388990175, -157.879157799)",HLTHOUT,STROKE,15003,15003006201,Stroke
2016,GA,Georgia,Augusta,Census Tract,BRFSS,Prevention,1304204-13245010509,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,83.9,81.8,85.6,,,4119,"(33.3975311058, -82.0375714937)",PREVENT,PAPTEST,1304204,13245010509,Pap Smear Test
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003008003,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,65.3,62.8,67.7,,,4668,"(21.3999483177, -157.975430955)",PREVENT,COLON_SCREEN,15003,15003008003,Colorectal Cancer Screening
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215010302,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.4,8,8.8,,,6293,"(32.5420961469, -84.975715442)",HLTHOUT,CASTHMA,1319000,13215010302,Current Asthma
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003009608,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,69.2,68.4,69.9,,,5682,"(21.4373306191, -158.12916731)",PREVENT,BPMED,15003,15003009608,Taking BP Medication
2017,ID,Idaho,Nampa,Census Tract,BRFSS,Prevention,1656260-16027020901,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,75.2,73.3,77.1,,,8896,"(43.5398107837, -116.537433492)",PREVENT,CHOLSCREEN,1656260,16027020901,Cholesterol Screening
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215001800,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.6,5.5,5.7,,,1272,"(32.4768765352, -84.9758274687)",HLTHOUT,CANCER,1319000,13215001800,Cancer (except skin)
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003009400,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.7,3.5,3.9,,,5155,"(21.4942478343, -158.038203503)",HLTHOUT,KIDNEY,15003,15003009400,Chronic Kidney Disease
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Prevention,1368516-13121010002,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.1,7.1,9.5,,,974,"(33.8834936779, -84.3555366414)",PREVENT,ACCESS2,1368516,13121010002,Health Insurance
2016,GA,Georgia,Augusta,Census Tract,BRFSS,Prevention,1304204-13245010106,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,83.7,81.7,85.6,,,5183,"(33.5164894565, -82.0235172066)",PREVENT,PAPTEST,1304204,13245010106,Pap Smear Test
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003011300,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.6,3.5,3.8,,,5451,"(21.3383298878, -157.731642152)",HLTHOUT,KIDNEY,15003,15003011300,Chronic Kidney Disease
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003010801,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,85.2,83.4,87.2,,,2969,"(21.4491051468, -157.761542724)",PREVENT,MAMMOUSE,15003,15003010801,Mammography
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003008906,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,45.8,44.5,46.9,,,3771,"(21.4525628591, -158.020918255)",UNHBEH,SLEEP,15003,15003008906,Sleep <7 hours
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003006302,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.6,4.4,4.9,,,2720,"(21.3491099922, -157.866832823)",HLTHOUT,KIDNEY,15003,15003006302,Chronic Kidney Disease
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003010306,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.7,20.5,21,,,6369,"(21.4234142294, -157.827218229)",UNHBEH,BINGE,15003,15003010306,Binge Drinking
2017,GA,Georgia,Johns Creek,City,BRFSS,Health Outcomes,1342425,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.2,7.1,7.3,,,76728,"(34.0332991998, -84.2027195506)",HLTHOUT,CASTHMA,1342425,,Current Asthma
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215010201,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.1,1.9,2.3,,,6740,"(32.5841000369, -84.9893087254)",HLTHOUT,STROKE,1319000,13215010201,Stroke
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003005800,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.5,3.3,3.8,,,3440,"(21.3263239389, -157.876784008)",HLTHOUT,KIDNEY,15003,15003005800,Chronic Kidney Disease
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003981100,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,,,,~,Data not available for this state from the 2016 BRFSS,19,"(21.3623108682, -157.715428914)",PREVENT,PAPTEST,15003,15003981100,Pap Smear Test
2016,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215002800,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,39,29.6,49,,,2107,"(32.4590027716, -84.9509101623)",HLTHOUT,TEETHLOST,1319000,13215002800,Teeth Loss
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Prevention,1304204-13245001000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,74.7,73.4,76,,,2941,"(33.4710160903, -82.0009603132)",PREVENT,BPMED,1304204,13245001000,Taking BP Medication
2017,ID,Idaho,Nampa,Census Tract,BRFSS,Health Outcomes,1656260-16027020601,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.3,7.8,8.8,,,4707,"(43.5833173278, -116.602873996)",HLTHOUT,DIABETES,1656260,16027020601,Diabetes
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001000805,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.7,7.7,10.1,,,3158,"(43.5762773331, -116.157137727)",HLTHOUT,MHLTH,1608830,16001000805,Mental Health
2016,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003000112,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,34.8,30.8,38.8,,,5555,"(21.2821597909, -157.699810105)",PREVENT,COREM,15003,15003000112,Core preventive services for older men
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051002100,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,31.3,30.5,32.1,,,2408,"(32.0585060267, -81.0807397501)",HLTHOUT,HIGHCHOL,1369000,13051002100,High Cholesterol
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215001800,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.5,15.8,17.2,,,1272,"(32.4768765352, -84.9758274687)",HLTHOUT,DIABETES,1319000,13215001800,Diabetes
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003004600,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.3,16.5,18,,,3735,"(21.3510749539, -157.825340793)",UNHBEH,OBESITY,15003,15003004600,Obesity
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Unhealthy Behaviors,1369000-13051004400,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,44.3,40.9,47.2,,,2337,"(32.03835623, -81.1207261985)",UNHBEH,LPA,1369000,13051004400,Physical Inactivity
2016,GA,Georgia,Augusta,Census Tract,BRFSS,Prevention,1304204-13245010906,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,62.8,59.9,65.4,,,6599,"(33.3187144769, -82.0171091675)",PREVENT,COLON_SCREEN,1304204,13245010906,Colorectal Cancer Screening
2017,KY,Kentucky,Louisville,City,BRFSS,Health Outcomes,2148006,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,27.6,27.5,27.7,,,597337,"(38.1777689918, -85.6664099974)",HLTHOUT,ARTHRITIS,2148006,,Arthritis
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Health Outcomes,1304204-13245000100,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,38.1,37.4,38.9,,,3753,"(33.4861010813, -82.0215987012)",HLTHOUT,HIGHCHOL,1304204,13245000100,High Cholesterol
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003008412,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.3,12.9,15.7,,,6543,"(21.3403268761, -158.029720453)",UNHBEH,CSMOKING,15003,15003008412,Current Smoking
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003007811,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.5,4.2,4.9,,,4990,"(21.4098743948, -157.894700309)",HLTHOUT,CHD,15003,15003007811,Coronary Heart Disease
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Health Outcomes,1368516-13121010119,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.7,9.1,10.3,,,4938,"(33.9913040108, -84.3452326148)",HLTHOUT,CASTHMA,1368516,13121010119,Current Asthma
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Health Outcomes,15003009701,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.5,18.5,20.5,,,6635,"(21.4747195664, -158.164806153)",HLTHOUT,MHLTH,15003,15003009701,Mental Health
2017,GA,Georgia,Roswell,Census Tract,BRFSS,Health Outcomes,1367284-13121011423,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.4,7,7.9,,,4852,"(34.0177367078, -84.3840157981)",HLTHOUT,CASTHMA,1367284,13121011423,Current Asthma
2016,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215011100,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,81.8,79.4,83.9,,,1992,"(32.471431433, -84.9881543926)",PREVENT,PAPTEST,1319000,13215011100,Pap Smear Test
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Unhealthy Behaviors,15003001400,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.9,18.1,19.7,,,2550,"(21.2772209725, -157.806213514)",UNHBEH,OBESITY,15003,15003001400,Obesity
2017,ID,Idaho,Nampa,Census Tract,BRFSS,Health Outcomes,1656260-16027021001,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,9,"(43.5970700523, -116.638034322)",HLTHOUT,STROKE,1656260,16027021001,Stroke
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Health Outcomes,1369000-13051003602,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.2,12.9,15.6,,,4623,"(32.0479323704, -81.0590055627)",HLTHOUT,PHLTH,1369000,13051003602,Physical Health
2017,GA,Georgia,Sandy Springs,Census Tract,BRFSS,Health Outcomes,1368516-13121010113,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.5,3.4,3.6,,,5439,"(33.9055417319, -84.3677017828)",HLTHOUT,CANCER,1368516,13121010113,Cancer (except skin)
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215010801,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,19.7,17.1,22.5,,,1427,"(32.3917467501, -84.9426192805)",PREVENT,ACCESS2,1319000,13215010801,Health Insurance
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Unhealthy Behaviors,1608830-16001000702,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.5,13.3,17.9,,,3112,"(43.5910336175, -116.14796877)",UNHBEH,LPA,1608830,16001000702,Physical Inactivity
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Health Outcomes,1319000-13215010205,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.5,6.2,6.7,,,2911,"(32.5486060196, -84.9385447347)",HLTHOUT,CANCER,1319000,13215010205,Cancer (except skin)
2017,HI,Hawaii,Honolulu,Census Tract,BRFSS,Prevention,15003008402,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,79.2,78.2,80.2,,,8206,"(21.3147061444, -158.010264458)",PREVENT,CHOLSCREEN,15003,15003008402,Cholesterol Screening
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Health Outcomes,1608830-16001002413,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.1,4.5,5.8,,,8245,"(43.6476872906, -116.324567671)",HLTHOUT,CHD,1608830,16001002413,Coronary Heart Disease
2017,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051010501,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,67.9,66.6,69.3,,,2941,"(32.0638134436, -81.1583320335)",PREVENT,CHECKUP,1369000,13051010501,Annual Checkup
2017,IL,Illinois,Arlington Heights,Census Tract,BRFSS,Prevention,1702154-17031802608,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.9,7.3,10.8,,,2939,"(42.1050837298, -87.9579021824)",PREVENT,ACCESS2,1702154,17031802608,Health Insurance
2016,ID,Idaho,Boise City,City,BRFSS,Prevention,1608830,Papanicolaou smear use among adult women aged 21–65 Years,%,AgeAdjPrv,Age-adjusted prevalence,76.4,75.9,76.9,,,205671,"(43.5984343897, -116.230885189)",PREVENT,PAPTEST,1608830,,Pap Smear Test
2017,GA,Georgia,Augusta,Census Tract,BRFSS,Health Outcomes,1304204-13245010203,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.3,3.1,3.5,,,4047,"(33.4745397942, -82.0768707244)",HLTHOUT,KIDNEY,1304204,13245010203,Chronic Kidney Disease
2017,GA,Georgia,Columbus,Census Tract,BRFSS,Prevention,1319000-13215010104,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,72.7,72,73.4,,,6532,"(32.5320678024, -84.8696804161)",PREVENT,CHECKUP,1319000,13215010104,Annual Checkup
2016,GA,Georgia,Savannah,Census Tract,BRFSS,Prevention,1369000-13051004300,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,81.8,79.1,84.6,,,2615,"(32.009813033, -81.1533434253)",PREVENT,MAMMOUSE,1369000,13051004300,Mammography
2017,GA,Georgia,Warner Robins,Census Tract,BRFSS,Health Outcomes,1380508-13153021104,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.7,2.4,3,,,4429,"(32.6066851404, -83.6814795438)",HLTHOUT,STROKE,1380508,13153021104,Stroke
2017,ID,Idaho,Boise City,Census Tract,BRFSS,Prevention,1608830-16001010321,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,15.4,12.7,18.4,,,979,"(43.6081215402, -116.336938378)",PREVENT,ACCESS2,1608830,16001010321,Health Insurance
